,sentence,open_q,close_q,affirm,reflect,sd,b,sv,%,aa,ba,qy,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,"fo_o_fw_""_by_bc",na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,t1,bd,^g,qw^d,fa,ft
406,We haven't been able to do text messaging with patients because it's not considered privacy secure.,0,0,0,0,0.7433092,8.37E-05,0.2420526,0.000550894,0.001880325,0.00029243,0.000398972,4.83E-05,0.00067814,3.00E-05,1.96E-05,2.58E-05,0.000348726,0.000786706,6.80E-06,0.000481835,0.00481081,7.05E-05,0.002807867,0.000101148,0.000261685,5.99E-05,7.28E-06,4.30E-05,0.000101729,0.0001159,0.000259498,8.14E-06,7.31E-05,1.19E-05,1.43E-05,0.000117864,5.06E-05,1.76E-05,3.28E-05,8.15E-06,9.19E-06,2.90E-06,1.65E-05,1.38E-06,2.20E-06
407,"So anyways, I think it's something to think about if you How often do you see your son.",0,0,0,0,0.217280433,0.003829147,0.669998944,0.009267334,0.007427249,0.006341749,0.006762371,0.00131489,0.004935638,0.004667069,0.000381181,0.001087844,0.001637169,0.007775378,0.000299023,0.001491321,0.005980369,0.001807929,0.004481702,0.005783824,0.000345278,0.000409225,0.028586552,0.002302638,0.00264925,0.000604108,0.000273432,0.000499432,0.000597924,4.64E-05,1.37E-05,0.000296668,0.000193075,9.03E-05,0.000111083,2.83E-05,5.73E-05,1.27E-05,0.000304813,6.72E-06,2.07E-05
408,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
409,How often do you see him.,0,0,0,0,0.00557842,0.003351891,0.004527782,0.002935265,0.002029729,0.00582868,0.023417858,0.00244317,0.002864918,0.502581239,0.006503064,0.005528132,0.002762414,0.001817295,0.026370266,0.00475709,0.001198449,0.006931077,0.001769053,0.011401916,0.000515611,0.00257063,0.239724904,0.034207538,0.033798937,0.001966952,0.001291566,0.003895034,0.00482645,0.002610298,0.000626513,0.004286021,0.004701323,0.001033366,0.001271585,0.028713932,0.001263224,0.000502274,0.006310676,0.000574985,0.000710327
410,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
411,"Do you use any other apps on your phone, like,
You know,
I don't know financial apps or Google Maps or email us email.",0,0,0,0,0.00644828,4.94E-05,0.002698418,0.00061803,0.000100384,3.97E-05,0.972808897,7.19E-05,0.000236956,0.000391907,2.87E-05,7.83E-05,1.98E-05,0.005135302,0.000690317,0.002699652,0.004460629,0.000371191,7.40E-05,0.000365993,0.000807113,0.0001502,0.000135271,0.000619495,1.92E-05,0.000102421,8.75E-05,4.97E-05,8.78E-05,1.89E-05,0.0001762,9.40E-05,5.49E-05,7.61E-05,2.18E-05,1.21E-05,2.23E-05,3.13E-05,1.55E-05,3.20E-06,2.74E-05
412,"Okay, okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
413,Let me see is your son's name Steve right.,0,0,0,0,0.181001157,0.00050699,0.002270947,0.001069379,0.000735078,0.003194931,0.011925044,0.004242723,0.005528634,0.008875173,0.000938085,0.033403024,0.009031894,0.000554243,0.000263213,0.155962795,0.000508165,0.015535625,0.000804546,0.032001358,0.000212652,0.000776461,0.002307198,0.001040586,0.456309021,0.001269806,0.001909764,4.96E-05,0.003403305,0.014973315,9.37E-05,0.003452203,0.003018305,0.026609542,0.000175887,0.013798418,0.000680342,8.26E-05,0.000913541,0.000277672,0.000293128
414,"
Okay, okay,
well you know what I will do is, is it okay if I give Steve a call.",0,0,0,0,0.879949629,0.00052209,0.080714643,0.0028966,0.001670016,0.002774697,0.011719401,0.00020297,0.003095256,0.000418237,4.24E-05,0.000265726,0.000539914,0.000788973,4.95E-05,0.008989749,0.000193739,0.001255022,0.000181497,0.000696394,0.000140099,0.000155676,3.79E-05,0.002013803,0.000235572,9.97E-05,6.87E-05,1.30E-05,7.28E-05,2.87E-05,4.20E-06,5.84E-05,1.89E-05,3.77E-05,3.00E-06,1.17E-05,6.79E-06,1.42E-06,2.41E-05,5.03E-07,8.11E-07
415,"And I'll just explain to him what I was talking about I'm talking about using my health online, because this way you can also see all of your own lab results.",0,0,0,0,0.959980845,3.46E-05,0.036410563,0.00014144,0.000139548,2.67E-05,6.01E-05,7.18E-06,0.002676506,1.12E-05,1.25E-07,1.99E-05,5.06E-06,4.89E-05,3.94E-07,0.000140446,6.02E-05,3.09E-05,2.38E-05,0.000118682,2.76E-05,1.21E-06,1.90E-06,1.40E-05,1.07E-05,3.91E-07,2.68E-07,1.90E-07,1.19E-06,4.48E-07,1.01E-08,8.35E-07,1.57E-06,1.91E-06,6.50E-08,9.96E-08,2.29E-08,1.08E-08,2.09E-07,1.80E-08,8.36E-08
416,And just kind of reminders about your health.,0,0,0,0,0.523811877,0.000176649,0.379809678,0.007351815,0.000294632,0.00098963,0.002034417,8.10E-05,0.000649084,0.007995396,0.000290341,0.000250168,0.003076795,0.022179442,0.000229928,0.003241281,0.022050725,0.000379836,0.00107771,0.005775022,0.00411723,0.000789225,0.00411721,0.003381174,0.001327856,0.000736882,0.000220832,0.000209654,0.0002147,7.37E-05,0.000232158,0.000371142,0.000346447,0.000376241,0.000302143,0.000352275,0.000243308,3.30E-05,0.000737256,2.26E-05,4.96E-05
417,Does that make sense.,0,0,0,0,0.020606261,0.008656812,0.020519359,0.020687839,0.007701196,0.020291822,0.635810912,0.002431011,0.006231743,0.002970484,0.000956346,0.003917698,0.001597588,0.031379506,0.043278657,0.028549017,0.021674894,0.012385301,0.002325383,0.007065603,0.020267555,0.006001158,0.002052087,0.039277673,0.002665803,0.003411475,0.001408756,0.003849322,0.002089665,0.000361864,0.002791011,0.002563108,0.001247112,0.002106203,0.001230316,0.000617795,0.003420006,0.004028507,0.000556833,0.000283151,0.000733213
418,"Yes, I want you to.",0,0,0,0,0.3845191,0.015354751,0.14882046,0.033902414,0.056679368,0.060493048,0.016402805,0.004021039,0.017930338,0.00328636,0.002157887,0.002206794,0.008174285,0.012746192,0.001256574,0.123612918,0.013296238,0.008308712,0.010620055,0.014698434,0.019492093,0.006549094,0.000800864,0.008436355,0.00431199,0.001886098,0.003177529,0.001179307,0.002079194,0.001213224,0.000453515,0.001939784,0.001479659,0.003445143,0.001704347,0.000886017,0.000440093,0.000203414,0.001301477,0.000197177,0.000335837
419,"I just want your permission, Is it okay if I call your son.",0,0,0,0,0.265756935,0.001616461,0.050394468,0.010497132,0.005464682,0.001300964,0.167259768,0.001472146,0.010008685,0.001938512,0.000247278,0.00525263,0.003038746,0.03080268,0.00120229,0.385377765,0.005895852,0.011936362,0.000741655,0.012338645,0.003056296,0.000876346,0.000176789,0.012440198,0.003056367,0.00086551,0.000382786,0.000238222,0.001126543,6.98E-05,5.00E-05,0.00035841,0.000902245,0.001825919,0.000147707,0.000156635,0.000198141,7.75E-05,0.00129972,7.04E-05,8.08E-05
420,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
421,I'll just contact him quickly.,0,0,0,0,0.611362815,0.007827715,0.219564557,0.010482986,0.006291606,0.014038278,0.005751531,0.001474789,0.004828777,0.001197748,0.000218111,0.002549417,0.003006508,0.038969118,0.000269578,0.006369951,0.007115817,0.005666124,0.006232897,0.008423408,0.02050405,0.005366407,0.000399482,0.002329043,0.003501817,0.000509344,0.001173012,0.000214067,0.0007069,0.000118002,4.63E-05,0.000515724,0.000429987,0.001108591,0.000231251,0.000316416,0.00017041,4.78E-05,0.000605921,3.84E-05,2.54E-05
422,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
423,"I do yes thank
you.",0,0,0,0,0.041034646,0.022807032,0.002274482,0.009632477,0.535584927,0.011173097,0.013171945,0.120455123,0.073442757,0.000994965,0.005860124,0.010439788,0.005109826,0.001215987,0.013946133,0.022494372,0.001183156,0.031983111,0.005084701,0.000692726,0.000396585,0.004057512,0.000202518,0.002016346,0.011090478,0.007709227,0.008926445,0.001509597,0.016234923,0.003181648,7.12E-05,0.000679165,0.001652081,0.000726392,0.001135752,0.001152822,0.000464986,0.004606198,0.000372351,0.000767713,0.004464527
424,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
425,"
Sure.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
426,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
427,Sounds good.,0,0,0,0,0.031635374,0.028252453,0.226470456,0.01090529,0.018442016,0.256538302,0.00761326,0.002486916,0.033884071,0.021981938,0.004094602,0.007849966,0.0238702,0.053861264,0.00395546,0.008702962,0.052814089,0.012282619,0.024845354,0.013673815,0.010791388,0.02033475,0.011302215,0.012727521,0.013658489,0.007023848,0.002315355,0.007362138,0.005140235,0.009466248,0.00141744,0.013920203,0.005720535,0.0037818,0.008232043,0.00369836,0.007873903,0.001655094,0.003791793,0.001199626,0.004426579
428,"
Jean.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
429,"
Yes, call your pharmacy we have gotten that question from other patients, it doesn't, it's only some, it's only some versions of the drug.",0,0,0,0,0.874492168,7.04E-05,0.094414674,0.000222995,0.001170979,0.00024817,0.001293078,3.12E-05,0.000368761,7.94E-05,9.20E-06,1.49E-05,0.000118845,0.001258494,6.79E-06,0.000660847,0.024557367,6.97E-05,9.22E-05,0.000408049,0.000223747,6.39E-05,6.81E-06,4.34E-05,2.50E-05,1.44E-05,1.05E-05,1.49E-06,4.52E-06,1.23E-06,5.92E-07,5.56E-06,4.52E-06,2.33E-06,3.41E-07,1.16E-06,3.43E-07,3.10E-07,1.33E-06,9.27E-08,9.36E-08
430,"So, what they should have done some lots they should have pulled the ones from the recall so you can just call with your pharmacy and double check.",0,0,0,0,0.368825972,0.000760288,0.535547972,0.001319877,0.005157359,0.00093284,0.034050442,0.00060166,0.00066771,0.012481521,0.000301497,0.000126524,0.000393011,0.001418392,0.000329792,0.006216208,0.003064201,0.000282742,0.0005829,0.003192721,0.001387141,0.000332312,0.00237584,0.018461078,0.000253767,0.000208664,4.16E-05,3.91E-05,7.52E-05,2.78E-05,4.77E-05,3.77E-05,0.000116656,8.05E-05,1.44E-05,6.59E-05,4.34E-06,5.95E-06,0.000163536,3.78E-06,3.32E-06
431,"
Call pharmacy and check with the pharmacist about the Metformin you Metformin may not be affected by the recall so you need to check with pharmacy.",0,0,0,0,0.345525622,0.000948934,0.475676328,0.001287238,0.002133349,0.004390597,0.003976164,0.000472354,0.025697494,0.00093326,5.29E-05,0.001250289,0.002435954,0.00574298,0.000146547,0.012522118,0.021774944,0.001921503,0.000559886,0.085736714,0.00094321,0.000357653,0.001214701,0.001028412,0.000937782,0.00017255,5.04E-05,5.49E-05,0.000164565,0.000147257,7.78E-06,0.000569681,0.000355654,0.000585269,3.44E-05,9.00E-06,1.36E-05,5.76E-06,0.00010639,2.53E-05,3.07E-05
432,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
433,"Yeah,
I know they don't know the details of which Metformin you've gotten so you need to call the pharmacist.",0,0,0,0,0.500936925,0.000511542,0.486956626,0.001589265,0.003350332,0.000938694,0.000292078,0.000366841,0.000317119,2.58E-05,7.92E-06,4.23E-05,0.001488201,0.001189456,3.74E-06,0.000366834,0.000335829,9.25E-05,0.000127607,0.000129581,0.000494606,7.43E-05,5.98E-06,0.000112248,7.55E-05,2.71E-05,6.10E-05,1.82E-06,2.97E-05,2.88E-06,1.38E-07,1.16E-05,3.32E-06,9.41E-06,4.66E-06,9.93E-07,9.54E-07,3.19E-07,1.41E-05,8.38E-08,1.31E-07
434,"
Okay, great.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
435,"
Jean next item, your diabetes eye exam.",0,0,0,0,0.178264946,0.003274697,0.214125037,0.01559032,0.014953831,0.017526945,0.031665925,0.003365475,0.323899001,0.001567133,0.003184431,0.003944561,0.001774217,0.040522989,0.000324217,0.019868514,0.066573203,0.015977303,0.000544285,0.004025368,0.005683075,0.00579834,0.000698729,0.000145443,0.004963695,0.001853132,0.002906979,0.000187429,0.000509234,0.004941219,0.00014784,0.002571208,0.000633489,0.00156462,0.001633746,8.62E-05,0.000329318,0.000141588,0.00024954,7.93E-05,0.00390344
436,"I exam, once a year so you're supposed to get your eyes checked.",0,0,0,0,0.791662633,0.00085544,0.13352485,0.002156562,0.002112487,0.000459782,0.001734525,0.000981939,0.006701149,0.001484125,0.000255203,0.001004244,0.000744875,0.004011189,0.000153305,0.009952686,0.003146912,0.001293662,0.004299388,0.007840785,0.005256577,0.000385368,0.000561882,0.001947189,0.008185628,0.000600057,0.000731556,0.000190771,0.000867203,0.000181577,2.69E-05,0.001064986,0.001977705,0.002551844,0.000135567,0.000223319,0.000115751,2.11E-05,0.000490022,3.99E-05,6.94E-05
437,You did with her.,0,0,0,0,0.315131962,0.00723421,0.170709565,0.006321435,0.048474859,0.012582028,0.182314917,0.000495776,0.016565274,0.0054669,0.000578775,0.001675929,0.000589121,0.077135891,0.007656257,0.013569974,0.061950911,0.007740377,0.011701711,0.012299187,0.015072179,0.006283071,0.001514281,0.005159275,0.00066194,0.001143709,0.000902132,0.002550737,0.000430891,0.000206321,0.001176683,0.001197414,0.000736988,0.000523448,0.000308901,0.000182022,0.000303297,0.000662182,0.00036487,8.90E-05,0.000335737
438,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
439,I have not seen it.,0,0,0,0,0.783891797,0.00016089,0.005194769,0.000865177,0.001110284,0.000338862,0.009241419,0.000487506,0.001104491,0.000285443,0.000438768,0.000633604,0.004239607,0.006105284,0.000400858,0.002854176,0.000418713,0.001221596,0.015112122,0.000192162,0.000416801,0.000593364,0.000116828,0.000135566,0.002672653,0.003001078,0.137114793,0.00033326,0.010356279,0.000778681,0.000273045,0.002671149,0.000650561,0.000693804,0.000649121,0.001907021,0.000773368,0.001389621,0.000698237,0.000206052,0.000271215
440,When did you get it roughly because I will contact her office.,0,0,0,0,0.476136237,0.00011782,0.144399494,0.00196558,0.000722883,0.000802406,0.055276211,0.002497588,0.00279881,0.063424312,0.001874888,0.001424102,0.019263206,0.043357387,0.001997369,0.009134041,0.040590018,0.003622495,0.005939466,0.005599357,0.024331171,0.003566157,0.007298712,0.005436163,0.003085968,0.010556852,0.01901482,0.001269933,0.005985205,0.000942598,0.005938458,0.003284461,0.003695942,0.002222042,0.003415514,0.004021223,0.001513744,0.000690468,0.0114398,0.000286191,0.001060995
441,"September 30 I'm going to double check in the chart, I do not see anything September 30.",0,0,0,0,0.938571155,0.00045205,0.051296741,0.000197291,0.006405151,0.000333473,0.000265669,5.10E-05,0.000269432,8.54E-06,1.89E-06,3.69E-05,0.000146776,9.52E-05,4.95E-06,0.000593271,0.000131861,4.39E-05,0.000848492,2.23E-05,3.12E-05,3.42E-05,1.19E-06,2.61E-05,3.39E-05,5.90E-06,2.82E-05,3.06E-06,3.42E-05,1.73E-06,5.20E-07,4.95E-06,5.26E-06,5.01E-06,6.00E-07,2.71E-06,1.10E-06,5.95E-07,3.31E-06,7.81E-08,8.53E-08
442,Let me see if I see something here in media.,0,0,0,0,0.052444864,0.000180969,0.003851261,0.000285759,9.81E-05,0.000284374,0.000535409,0.000643814,0.001261285,0.000314554,8.90E-05,0.003882191,0.008265327,0.000679892,7.86E-05,0.036819145,6.37E-05,0.003631616,0.000807085,0.029506471,0.000348485,0.000126691,0.000387926,0.000668295,0.739331186,0.0002273,0.00102176,9.74E-06,0.003584408,0.000238252,4.40E-05,0.00072901,0.002258084,0.098117016,0.000189471,0.006136944,0.000420411,0.000171399,0.001916158,0.000171912,0.000178104
443,I don't see anything.,0,0,0,0,0.251190126,0.281097978,0.019800154,0.085348502,0.019331453,0.124453187,0.001251336,0.00313218,0.01978429,0.00055692,0.000294621,0.069225475,0.006131787,0.001080854,0.000638743,0.003195873,0.000355472,0.008858991,0.005286654,0.005931239,0.001842211,0.002262829,0.000233496,0.001035129,0.078630514,0.000193585,0.000588364,0.000182156,0.002144231,0.000245007,1.15E-05,0.000492117,0.000884989,0.001305057,9.05E-05,0.001997996,0.000233732,7.48E-05,0.000430464,0.000105571,6.99E-05
444,Dr Kirschner.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
445,Let's stop drinking pushers first name.,0,0,0,0,0.987531126,0.000177624,0.007673302,0.00034736,0.000811849,0.000649405,0.000242666,7.67E-05,0.000477545,1.38E-05,5.33E-06,3.39E-05,4.21E-05,0.000192772,9.50E-06,0.000489326,0.000108642,0.000155762,0.000220399,9.63E-05,0.000399305,0.000103513,2.17E-06,3.84E-05,3.14E-05,9.59E-06,1.61E-05,4.10E-06,8.68E-06,5.85E-06,1.72E-07,5.13E-06,7.17E-06,6.69E-06,4.76E-07,2.32E-06,5.29E-07,2.31E-07,2.32E-06,2.84E-07,1.27E-07
446,What is the eye doctors first name dr Krishna.,0,0,0,0,0.066034898,0.00175992,0.020637715,0.003960723,0.001960032,0.003401719,0.06390246,0.004751065,0.003279872,0.195832103,0.003825179,0.0038771,0.00213881,0.001352523,0.01877162,0.011210293,0.001972552,0.008445042,0.009122785,0.012928963,0.00558766,0.005480255,0.343075275,0.031780459,0.069670841,0.004527574,0.003253629,0.007066013,0.006368265,0.007307786,0.001967933,0.005694874,0.023164952,0.003612922,0.002093166,0.028675314,0.001786349,0.000768457,0.007433817,0.000854609,0.000664504
447,"first Right, okay.",0,0,0,0,0.292877048,0.034864411,0.057427324,0.042120941,0.010455871,0.021195732,0.005297014,0.003456955,0.017671503,0.00362213,0.002027154,0.01512182,0.008462466,0.021880718,0.003764289,0.029195249,0.019295549,0.026700236,0.019135967,0.12588574,0.041173078,0.061847426,0.004139957,0.007290564,0.016166337,0.004299891,0.00628875,0.010389543,0.005645028,0.004074305,0.005027722,0.008088266,0.013323691,0.021831615,0.005403609,0.005344175,0.004692202,0.002699937,0.005508939,0.003811823,0.002495027
448,"Bruce Kirschner
ophthalmologist.",0,0,0,0,0.012011424,0.002903295,0.022986876,0.000756813,0.002967587,0.002355636,0.000588317,0.002441096,0.001323015,0.000284654,0.00024572,0.002645559,0.001659221,0.002127851,0.000964785,0.003194846,0.00290345,0.009267319,0.000413549,0.878845096,0.007541926,0.007608497,0.00149507,0.003595673,0.006425826,0.000853417,0.000384678,0.00281465,0.000666779,0.000177337,0.000181309,0.000876582,0.002949621,0.009466914,0.001181585,0.000438616,0.000461738,0.000141071,0.000801139,0.000891367,0.000160045
449,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
450,"Okay,
these chains
are eye report from Dr. Bruce.",0,0,0,0,0.988987505,2.38E-05,0.009222772,7.72E-05,0.000464358,9.42E-05,0.000598884,2.37E-05,5.69E-05,5.42E-06,7.84E-07,2.76E-06,1.29E-05,5.36E-05,2.99E-06,4.39E-05,0.000146724,1.73E-05,8.69E-05,9.12E-06,2.82E-05,1.36E-05,7.63E-07,6.74E-06,1.56E-06,6.70E-06,1.76E-06,3.78E-06,1.26E-06,9.83E-07,7.21E-08,1.21E-06,8.40E-07,2.45E-07,1.09E-07,2.01E-07,1.45E-08,8.82E-08,2.22E-07,1.26E-07,1.74E-08
451,Hirsch.,0,0,0,0,0.023257416,0.02195286,0.014499795,0.023086453,0.018760441,0.019691519,0.014288585,0.017821005,0.024131775,0.018770013,0.023994541,0.019390756,0.024446687,0.021679096,0.018490799,0.024282737,0.021715943,0.029862715,0.022794971,0.019167829,0.033947226,0.039310046,0.015122966,0.019688945,0.022263728,0.031546675,0.030659322,0.027602484,0.024484877,0.027682425,0.034073312,0.024333226,0.033435047,0.022902615,0.029717712,0.028145701,0.034927797,0.026399711,0.022588193,0.023586392,0.025495736
452,"Oops, I misspelled his name i r s SCKIR sC kershner, he had it done September 30.",0,0,0,0,0.977710426,0.000358538,0.013495013,0.001795891,0.001321943,0.000330127,0.001201081,0.000149945,0.000407329,0.000186433,2.10E-05,0.000198664,5.88E-05,0.000249837,1.71E-05,0.000281057,0.000705362,0.000105634,0.000531007,5.12E-05,0.000109847,0.000181375,2.24E-05,1.39E-05,0.000124161,4.88E-05,0.000119512,1.44E-05,2.49E-05,6.03E-05,3.49E-07,7.71E-05,7.97E-06,3.94E-06,6.97E-07,7.05E-06,7.31E-07,1.19E-06,4.11E-06,7.52E-07,2.62E-07
453,"
Got your flu shot.",0,0,0,0,0.119721681,0.000583626,0.019640189,0.000767176,0.001924838,0.000432884,0.005275944,0.000816804,0.004217758,0.000293016,2.95E-05,0.000665945,0.000325703,0.010518255,9.48E-05,0.002592491,0.799692869,0.002692789,0.000260084,0.018095927,0.009483442,0.000681162,7.17E-05,0.000123219,0.000281025,5.93E-05,6.13E-05,4.70E-05,2.77E-05,3.64E-05,4.30E-06,8.47E-05,0.000221177,0.000106776,7.85E-06,4.72E-06,8.32E-06,3.43E-06,2.13E-05,8.01E-06,1.50E-05
454,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
